name,department,url,text_id
"Brian Cummings, badge #1360",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Christopher Cushenbery, badge #1375",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Mark Durand, badge #1627",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"David C. Elliott, badge #1755",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Andrew P. Enriquez, badge #1802",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Eric Faulconer, badge #1925",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Mark J. Gasior, badge #2228",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Scott L. Grabowski, badge #2366",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Dennis Hamilton, badge #2610",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Joseph Haspert, badge #2791",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Anna Hedberg, badge #2927",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Thomas Hendrickson, badge #2960",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Roland Hillstrom, badge #2986",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"David Honican, badge #3135",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Daniel O. Horn, badge #212",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Christopher House, badge #3165",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Robert W. Illetschko, badge #3200",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Kurt S. Indehar, badge #3209",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Jennifer Lazarchic (Goodmanson), badge #2319",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Alan Liotta, badge #4196",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Thomas A. Lopez, badge #4238",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Oscar Macias, badge #4319",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Timothy J. Mattsson, badge #4490",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Matthew J. McLean, badge #4635",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Johnny Mercil, badge #4732",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Jamiel Mohammad, badge #5150",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Blake Moua, badge #4882",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Beth Mota (Letourneau), badge #4106",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"David C. Neil, badge #4950",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Matthew G. Olson, badge #5305",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"George J. Peltz, badge #5546",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Lucas Peterson, badge #5630",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Michael Pfaff, badge #5675",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Patrick S. Reuben, badge #5969",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Bryce Robinson, badge #6062",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Antonio San Roman, badge #6123",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Todd D. Sauvageau, badge #6309",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Sherral Schmidt (Miller-Graf), badge #4799",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Jarrod Silva, badge #6551",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"John Staufenberg, badge #6765",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Mark Wisocki, badge #7820",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Patrick Windus, badge #7802",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Steve Wuorinen, badge #7876",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Jeffrey York, badge #7893",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Heather Young (Jorges), badge #3576",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Matthew J. Koncar, badge #359000",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Joshua P. Lynaugh, badge #415550",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Tong S. Yang, badge #750407",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618167029/KREKELBERG_v._Anoka_County__439_F._Supp._3d_1143_-_Dist._Court__Minnesota_2020_-_Google_Scholar.pdf?1618167029,6
"Brandon Akers, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243075/Minnesota_BCA_releases_more_information_about_Brooklyn_Center_police_shooting_-_StarTribune.com.pdf?1618243075,7
"Steven Holt, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243075/Minnesota_BCA_releases_more_information_about_Brooklyn_Center_police_shooting_-_StarTribune.com.pdf?1618243075,7
"Cody Turner, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243075/Minnesota_BCA_releases_more_information_about_Brooklyn_Center_police_shooting_-_StarTribune.com.pdf?1618243075,7
"Matthew Alberts, badge #1287",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615947749/N__WPDOCS_SUPPRESS_WadeLamarr.R_R.wpd.pdf?1615947749,8
"Frederick McDonald, badge #4556",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615947749/N__WPDOCS_SUPPRESS_WadeLamarr.R_R.wpd.pdf?1615947749,8
"Roxanne Affeldt, badge #None",Champlin Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626792087/_80_000_Minnesota_Illegal_Search___Seizure_Verdict_Upheld__Attorney_Fees_Slashed_50_.pdf?1626792087,9
"Bill Schmidt, badge #None",Champlin Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626792087/_80_000_Minnesota_Illegal_Search___Seizure_Verdict_Upheld__Attorney_Fees_Slashed_50_.pdf?1626792087,9
"Brian Wentworth, badge #None",Champlin Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626792087/_80_000_Minnesota_Illegal_Search___Seizure_Verdict_Upheld__Attorney_Fees_Slashed_50_.pdf?1626792087,9
"Robert Topp, badge #None",Plymouth Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1626792087/_80_000_Minnesota_Illegal_Search___Seizure_Verdict_Upheld__Attorney_Fees_Slashed_50_.pdf?1626792087,9
"Vincent A. Adams, badge #720505",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615680763/2018_RCAO_Decision_Memo_on_Death_of_William_J._Hughes.pdf?1615680763,10
"Matthew A. Jones, badge #327630",St. Paul Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1615680763/2018_RCAO_Decision_Memo_on_Death_of_William_J._Hughes.pdf?1615680763,10
"Brandon Akers, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243279/Officers_ID'd_in_Brooklyn_Center_fatal_shooting___MPR_News.pdf?1618243279,11
"Steven Holt, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243279/Officers_ID'd_in_Brooklyn_Center_fatal_shooting___MPR_News.pdf?1618243279,11
"Cody Turner, badge #None",Brooklyn Center Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618243279/Officers_ID'd_in_Brooklyn_Center_fatal_shooting___MPR_News.pdf?1618243279,11
"Philip Alejandrino, badge #29",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Carlos Baires Escobar, badge #275",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Aaron Collins, badge #1259",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Brian Cummings, badge #1360",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Christopher Cushenbery, badge #1375",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Mark Durand, badge #1627",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"David C. Elliott, badge #1755",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Andrew P. Enriquez, badge #1802",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Eric Faulconer, badge #1925",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Mark J. Gasior, badge #2228",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Scott L. Grabowski, badge #2366",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Dennis Hamilton, badge #2610",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Joseph Haspert, badge #2791",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Anna Hedberg, badge #2927",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Thomas Hendrickson, badge #2960",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Roland Hillstrom, badge #2986",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"David Honican, badge #3135",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Daniel O. Horn, badge #212",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Christopher House, badge #3165",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Kurt S. Indehar, badge #3209",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Robert W. Illetschko, badge #3200",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Jennifer Lazarchic (Goodmanson), badge #2319",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Alan Liotta, badge #4196",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Thomas A. Lopez, badge #4238",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Oscar Macias, badge #4319",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Timothy J. Mattsson, badge #4490",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Matthew J. McLean, badge #4635",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Johnny Mercil, badge #4732",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Jamiel Mohammad, badge #5150",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Blake Moua, badge #4882",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Beth Mota (Letourneau), badge #4106",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"David C. Neil, badge #4950",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Matthew G. Olson, badge #5305",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"George J. Peltz, badge #5546",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Michael Pfaff, badge #5675",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Lucas Peterson, badge #5630",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Patrick S. Reuben, badge #5969",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Bryce Robinson, badge #6062",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Antonio San Roman, badge #6123",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
"Todd D. Sauvageau, badge #6309",Minneapolis Police Department,https://d3n8a8pro7vhmx.cloudfront.net/cuapb/pages/270/attachments/original/1618166256/Krekelberg_Privacy_Lawsuit.pdf?1618166256,12
